Text,Label
của Nguyễn Nhật Ánh,AUTHOR
của Nam Cao,AUTHOR
tên sách Mắt Biếc,TITLE
thể loại thiếu nhi,CATEGORY
xuất bản sau năm 2010,YEAR
id lớn hơn 5,ID
của Nam Cao,AUTHOR
xuất bản trước năm 2000,YEAR
tên sách Mắt Biếc,TITLE
tác giả Nguyễn Nhật Ánh,AUTHOR
của Nguyễn Nhật Ánh,AUTHOR
của Nam Cao,AUTHOR
của Tô Hoài,AUTHOR
sách do J.K. Rowling viết,AUTHOR
written by Stephen King,AUTHOR
sách của Paulo Coelho,AUTHOR
cho tôi sách của Haruki Murakami,AUTHOR
sách của tác giả ánh,AUTHOR
của tác giả Nam Cao,AUTHOR
do Nguyễn Du viết,AUTHOR
tên sách Mắt Biếc,TITLE
tiêu đề là Dế Mèn Phiêu Lưu Ký,TITLE
tựa đề Harry Potter,TITLE
book title Sherlock Holmes,TITLE
title là Nhà Giả Kim,TITLE
sách có tên là bản,TITLE
sách tên là mắt,TITLE
sách có tên là mắt biếc,TITLE
tên là tuổi thơ dữ dội,TITLE
tiêu đề bản,TITLE
thể loại thiếu nhi,CATEGORY
sách thể loại kinh tế,CATEGORY
thuộc loại khoa học,CATEGORY
category truyện ngắn,CATEGORY
genre fantasy,CATEGORY
sách về lịch sử,CATEGORY
thuộc thể loại tiểu thuyết,CATEGORY
thể loại văn học,CATEGORY
sách về công nghệ,CATEGORY
loại tâm lý học,CATEGORY
xuất bản sau năm 2010,YEAR
năm 2022,YEAR
phát hành trước năm 2005,YEAR
ra mắt năm 2018,YEAR
published in 2020,YEAR
sau năm 2015,YEAR
trước năm 2000,YEAR
xuất bản năm 2019,YEAR
phát hành sau năm 2021,YEAR
năm 1998,YEAR
id 15,ID
mã số 20,ID
id lớn hơn 5,ID
mã nhỏ hơn 10,ID
stt 7,ID
id bằng 12,ID
mã 30,ID
id từ 5 đến 10,ID
mã lớn hơn 100,ID
stt nhỏ hơn 8,ID
của Nguyễn Nhật Ánh,AUTHOR
thể loại thiếu nhi,CATEGORY
của Nam Cao,AUTHOR
xuất bản trước năm 2000,YEAR
tên sách Mắt Biếc,TITLE
tác giả Nguyễn Nhật Ánh,AUTHOR
thể loại kinh tế,CATEGORY
năm 2021,YEAR
id 12,ID
tác giả Tô Hoài,AUTHOR
xuất bản sau năm 2015,YEAR
thể loại khoa học,CATEGORY
sách của Haruki Murakami,AUTHOR
năm 2010,YEAR
sách của Paulo Coelho,AUTHOR
tên Nhà Giả Kim,TITLE
thể loại fantasy,CATEGORY
tác giả J.K. Rowling,AUTHOR
id lớn hơn 3,ID
nhỏ hơn 20,ID
tên là bản,TITLE
của tác giả ánh,AUTHOR
tên là mắt,TITLE
của tác giả ánh,AUTHOR
tên là tuổi thơ,TITLE
của Nam Cao,AUTHOR
tên là dế mèn,TITLE
thể loại thiếu nhi,CATEGORY
của tác giả Nguyễn Nhật Ánh,AUTHOR
tên là mắt biếc,TITLE
tên là bản,TITLE
xuất bản sau năm 2010,YEAR
của J.K. Rowling,AUTHOR
tên là harry potter,TITLE
tên là nhà giả kim,TITLE
của Paulo Coelho,AUTHOR
thể loại văn học,CATEGORY
sách của Nam Cao,AUTHOR
sách tên là bản,TITLE
thể loại tiểu thuyết,CATEGORY
không phải của Nam Cao,AUTHOR
không do Nguyễn Nhật Ánh viết,AUTHOR
không written by Stephen King,AUTHOR
của Nam Cao hoặc Tô Hoài,AUTHOR
của Haruki Murakami và Paulo Coelho,AUTHOR
tác giả là Nguyễn Du hoặc Hồ Xuân Hương,AUTHOR
author Haruki Murakami and Paulo Coelho,AUTHOR
written by J.K. Rowling or Stephen King,AUTHOR
do Nam Cao và Vũ Trọng Phụng viết,AUTHOR
của tác giả Nguyễn Nhật Ánh hoặc Tô Hoài,AUTHOR
tên sách không phải Mắt Biếc,TITLE
tiêu đề không chứa tuổi thơ,TITLE
title không có chữ harry,TITLE
tên là Mắt Biếc hoặc Tuổi thơ dữ dội,TITLE
tiêu đề là Dế Mèn và Phiêu Lưu,TITLE
tên sách bắt đầu bằng Harry,TITLE
tiêu đề kết thúc bằng ký,TITLE
book title contains sherlock,TITLE
title exact Harry Potter,TITLE
tên là nhà giả kim hoặc đắc nhân tâm,TITLE
thể loại không phải thiếu nhi,CATEGORY
không thuộc thể loại kinh tế,CATEGORY
category not fantasy,CATEGORY
thể loại văn học hoặc lịch sử,CATEGORY
genre fantasy and adventure,CATEGORY
sách về tâm lý hoặc kỹ năng sống,CATEGORY
thuộc loại khoa học và công nghệ,CATEGORY
dòng sách tiểu thuyết,CATEGORY
chủ đề lịch sử,CATEGORY
field psychology,CATEGORY
năm không phải 2020,YEAR
không xuất bản năm 2018,YEAR
published after 2015,YEAR
published before 2001,YEAR
năm từ 1998 đến 2005,YEAR
giai đoạn 2000 đến 2010,YEAR
năm 2010 hoặc 2012,YEAR
xuất bản năm 2018 và 2020,YEAR
ra mắt sau năm 2017,YEAR
trước năm 1990,YEAR
id không phải 12,ID
mã khác 20,ID
id từ 3 đến 9,ID
stt từ 10 đến 30,ID
id lớn hơn 5 và nhỏ hơn 20,ID
mã trên 100,ID
id dưới 8,ID
số thứ tự 15,ID
mã định danh 99,ID
định danh lớn hơn 50,ID
của Nam Cao,AUTHOR
năm 2000,YEAR
của Nam Cao,AUTHOR
sau năm 2000,YEAR
của Nguyễn Nhật Ánh,AUTHOR
thể loại thiếu nhi,CATEGORY
của Nguyễn Nhật Ánh,AUTHOR
tên là mắt biếc,TITLE
của Tô Hoài,AUTHOR
id 12,ID
thể loại lịch sử,CATEGORY
năm 2010,YEAR
tên là dế mèn,TITLE
của Tô Hoài,AUTHOR
id 20,ID
tác giả Nam Cao,AUTHOR
năm 2021,ID
thể loại kinh tế,CATEGORY
title harry potter,TITLE
author J.K. Rowling,AUTHOR
của Nam Cao,AUTHOR
thể loại văn học,CATEGORY
trước năm 2000,ID
năm 1998,YEAR
tên là mắt biếc,TITLE
của Nguyễn Nhật Ánh,AUTHOR
id 15,ID
tên là bản,TITLE
của tác giả ánh,AUTHOR
có tên là dế mèn,TITLE
thể loại thiếu nhi,CATEGORY
của Tô Hoài,AUTHOR
xuất bản sau năm 2010,YEAR
thể loại khoa học,CATEGORY
id lớn hơn 5,ID
của Paulo Coelho,AUTHOR
tên nhà giả kim,TITLE
năm 2003,ID
sau năm 2000,YEAR
tác giả J.K. Rowling,AUTHOR
thể loại fantasy,CATEGORY
id từ 5 đến 20,ID
của Nam Cao,AUTHOR
title là harry potter,TITLE
category fantasy,CATEGORY
published in 2001,YEAR
mã lớn hơn 10 và nhỏ hơn 100,ID
thể loại công nghệ,CATEGORY
sách của Nam Cao hoặc Tô Hoài,AUTHOR
năm 1940,YEAR
tên là mắt biếc hoặc tuổi thơ dữ dộ,TITLE
của Nguyễn Nhật Ánh,AUTHOR
thể loại lịch sử hoặc văn học,CATEGORY
trước năm 2000,YEAR
không thuộc thể loại kinh tế,CATEGORY
của Nam Cao,AUTHOR
không phải của Tô Hoài,AUTHOR
tên là dế mèn,TITLE
id không phải 10,ID
tác giả Nguyễn Du,AUTHOR
năm không phải 2018,YEAR
thể loại fantasy,CATEGORY
title không chứa bản,TITLE
author Paulo Coelho,AUTHOR
không do J.K. Rowling viết,AUTHOR
thể loại fantasy,CATEGORY
không xuất bản năm 2020,YEAR
tên là harry potter,TITLE
của Nguyễn Nhật Ánh,AUTHOR
do Nam Cao viết,AUTHOR
written by Stephen King,AUTHOR
title Sherlock Holmes,TITLE
thể loại khoa học,CATEGORY
xuất bản năm 2019,YEAR
id 25,ID
after 2010,YEAR
category fantasy,CATEGORY
tên là mắt biếc,TITLE
của tác giả ánh,AUTHOR
xuất bản sau năm 2010,YEAR
tên là bản,TITLE
của Nam Cao,AUTHOR
tên là tuổi thơ,TITLE
thể loại thiếu nhi,CATEGORY
Paulo Coelho,TITLE
năm 2003,YEAR
của Nam Cao,AUTHOR
thể loại văn học,CATEGORY
tên nhà giả kim,TITLE
của Paulo Coelho,AUTHOR
id 12,ID
năm 2020,YEAR
mã lớn hơn 10,ID
thể loại lịch sử,CATEGORY
sau năm 2015,YEAR
tác giả J.K. Rowling,AUTHOR
tên là harry potter,AUTHOR
published in 2001,YEAR
author Stephen King,AUTHOR
title It,TITLE
genre fantasy,CATEGORY
published after 2000,YEAR
book title Harry Potter,TITLE
author J.K. Rowling,AUTHOR
category science,CATEGORY
title cosmos,TITLE
written by Paulo Coelho,AUTHOR
published in 2003,YEAR
id greater than 5 and less than 10,ID
title starts with harry,TITLE
title ends with ký,TITLE
author not Stephen King,AUTHOR
category not fantasy,CATEGORY
year 2020,YEAR
năm 1943,YEAR
thể loại văn học,CATEGORY
của Nam Cao,AUTHOR
là mắt biếc,TITLE
của Nguyễn Nhật Ánh,AUTHOR
năm 1990,ID
id 12,ID
tác giả Tô Hoài,AUTHOR
thể loại thiếu nhi,CATEGORY
xuất bản sau năm 2010,YEAR
thể loại công nghệ,CATEGORY
id lớn hơn 5,ID
của Paulo Coelho,AUTHOR
tên nhà giả kim,TITLE
năm 2003,YEAR
thể loại fantasy,CATEGORY
tác giả J.K. Rowling,AUTHOR
sau năm 2000,YEAR
sách tên là bản,TITLE
thể loại tiểu thuyết,CATEGORY
sách của Nam Cao,AUTHOR
không thuộc thể loại thiếu nhi,CATEGORY
sách không do Nam Cao viết,AUTHOR
năm 2000,YEAR
title harry potter,TITLE
author J.K. Rowling,AUTHOR
category fantasy,CATEGORY
id từ 5 đến 10,ID
tác giả Nguyễn Du,AUTHOR
năm 2010,YEAR
title nhà giả kim,TITLE
author Paulo Coelho,AUTHOR
